asin,title,brand,price_inr,mrp_inr,rating,review_count,sponsored,badge,search_query
B09WKHR9PC,BEARDO,Up to 5% back with Amazon Pay ICICI card,148.0,74.0,4.2,986.0,False,,ustraa body wash
B0CRR7PNQ6,Dettol,Nourishing,230.0,46.0,4.3,986.0,False,,the man company body wash
B0C785WGSG,mcaffeine,Tan Removal,523.0,87.0,4.1,985.0,False,,ustraa body wash
B0CSKBCMHX,Fiama,Moisturizing,318.0,22.0,4.4,985.0,False,,fiama men body wash
B0BHTRKM3R,Dove,Up to 5% back with Amazon Pay ICICI card,369.0,36.0,4.3,971.0,False,,dove men care body wash
B0BHTQH126,Dove,Up to 5% back with Amazon Pay ICICI card,398.0,39.0,4.3,968.0,False,,dove men care body wash
B0BDV8LKZL,BEARDO,Up to 5% back with Amazon Pay ICICI card,414.0,103.0,4.4,960.0,False,Supersaver,beardo body wash
B0F4XVRH3M,GHAR SOAPS,Up to 5% back with Amazon Pay ICICI card,261.0,104.0,4.2,958.0,False,,bombay shaving company body wash
B09RPS1XVC,Khadi Natural,Soothing,187.0,89.0,4.2,956.0,False,,bombay shaving company body wash
B09KH93NKW,BEARDO,Cleansing,399.0,798.0,3.9,953.0,False,,beardo body wash
B08PXHBCSK,Fiama,Moisturizing,354.0,597.0,4.4,924.0,False,,fiama men body wash
B0B1M8SZVB,Fiama,No featured offers available,,,4.4,903.0,False,,fiama men body wash
B0C81GB721,Dove,Menthol,662.0,101.0,4.2,902.0,False,,dove men care body wash
B07XQCTKKJ,Dr Teal's,Revitalizing,845.0,119.0,4.7,899.0,False,Limited time deal,old spice body wash
B0BHTS4Z6T,AXE,Moisturizing,119.0,47.0,4.1,870.0,False,,ustraa body wash
B00NB2670Q,SebaMed,Cleansing,648.0,324.0,4.5,858.0,False,,old spice body wash
B00DRE5J5M,SebaMed,Smoothening,634.0,317.0,4.5,858.0,False,,dove men care body wash
B0DFCK7CB4,Dove,No featured offers available,,,4.3,856.0,False,,beardo body wash
B08RDZCRYK,Fiama,Moisturizing,129.0,51.0,4.4,846.0,False,,fiama men body wash
