date,Dove Men Care,Nivea Men,Beardo,Ustraa,The Man Company,Old Spice body wash,Fiama Men,Park Avenue body wash,Bombay Shaving Company,Wild Stone body wash
2021-03-14,0,10,38,14,21,0,0,0,9,0
2021-03-21,0,11,38,12,21,0,0,0,9,0
2021-03-28,0,12,45,14,22,0,0,0,12,0
2021-04-04,0,13,44,13,20,0,0,0,10,0
2021-04-11,0,10,39,11,21,0,0,0,10,0
2021-04-18,0,9,36,12,22,0,0,0,8,0
2021-04-25,0,8,49,12,24,0,2,0,6,0
2021-05-02,0,10,48,15,22,0,0,0,10,0
2021-05-09,0,9,43,16,22,0,0,0,11,0
2021-05-16,0,8,43,18,23,0,0,0,11,0
2021-05-23,0,8,42,19,25,0,0,0,11,0
2021-05-30,0,10,56,20,26,0,0,0,10,0
2021-06-06,0,11,60,18,23,0,0,0,12,0
2021-06-13,0,9,45,17,28,0,0,0,15,0
2021-06-20,0,8,39,18,24,0,0,0,10,0
2021-06-27,0,10,43,17,24,0,0,0,11,0
2021-07-04,0,9,42,21,25,0,0,0,9,0
2021-07-11,0,8,37,18,26,0,0,0,11,0
2021-07-18,0,9,34,15,26,0,0,0,11,0
2021-07-25,0,8,33,17,23,0,0,0,12,0
2021-08-01,0,8,33,15,22,2,0,0,13,0
2021-08-08,0,9,36,17,26,0,0,0,11,0
2021-08-15,0,8,35,16,26,0,0,0,14,0
2021-08-22,0,10,34,16,24,0,0,0,11,0
2021-08-29,0,9,30,17,25,0,0,0,8,0
2021-09-05,0,9,33,13,24,0,0,0,9,0
2021-09-12,0,7,30,12,22,0,0,0,8,0
2021-09-19,0,7,50,14,19,0,0,0,10,0
2021-09-26,0,7,37,12,20,0,0,0,10,0
2021-10-03,0,9,34,11,25,0,0,0,14,0
2021-10-10,0,10,31,12,20,0,0,0,13,0
2021-10-17,0,7,30,14,21,0,0,0,10,0
2021-10-24,0,11,27,12,34,0,0,0,11,0
2021-10-31,0,11,34,11,19,0,0,0,7,0
2021-11-07,0,12,34,10,20,0,0,0,9,0
2021-11-14,0,11,34,12,23,0,0,0,10,0
2021-11-21,0,11,32,12,26,0,0,0,9,0
2021-11-28,0,10,35,13,26,0,0,0,11,0
2021-12-05,0,9,36,12,23,0,0,0,11,0
2021-12-12,0,11,98,15,23,0,0,0,12,0
2021-12-19,0,11,55,15,27,0,0,0,14,0
2021-12-26,0,9,43,14,25,0,0,0,17,0
2022-01-02,0,10,51,15,27,0,0,0,21,0
2022-01-09,0,9,42,13,29,0,0,0,13,0
2022-01-16,0,9,47,17,26,0,0,0,13,0
2022-01-23,0,9,44,19,34,0,0,0,17,0
2022-01-30,0,12,51,18,34,0,0,0,28,0
2022-02-06,0,11,51,19,37,0,0,0,26,0
2022-02-13,0,12,48,18,35,0,2,0,19,0
2022-02-20,0,12,42,17,35,0,0,0,18,0
2022-02-27,0,12,47,16,29,0,0,0,17,0
2022-03-06,0,13,50,16,34,0,0,0,17,0
2022-03-13,0,13,46,20,31,0,0,0,18,0
2022-03-20,0,12,49,18,27,0,0,0,16,0
2022-03-27,0,12,46,16,24,0,0,0,17,0
2022-04-03,0,14,47,19,30,0,0,0,15,0
2022-04-10,0,12,47,20,25,1,0,0,17,0
2022-04-17,0,12,52,18,23,0,0,0,17,0
2022-04-24,0,13,54,17,30,0,0,0,17,0
2022-05-01,0,12,53,18,26,0,0,0,18,0
2022-05-08,0,11,55,19,26,0,0,0,15,0
2022-05-15,0,11,54,23,24,0,0,0,15,0
2022-05-22,0,12,49,20,27,0,0,0,16,0
2022-05-29,0,12,48,20,25,0,0,0,15,0
2022-06-05,0,14,53,21,27,0,0,0,18,0
2022-06-12,0,11,45,19,23,0,0,0,25,0
2022-06-19,0,11,43,20,29,0,0,0,21,0
2022-06-26,0,12,50,18,26,0,2,0,16,0
2022-07-03,0,10,48,22,26,0,0,0,18,0
2022-07-10,0,11,58,18,25,0,0,0,17,0
2022-07-17,0,11,51,18,24,0,0,0,16,0
2022-07-24,0,11,50,18,23,0,0,0,17,0
2022-07-31,0,11,49,19,27,0,0,0,25,0
2022-08-07,0,11,51,19,28,0,1,0,24,0
2022-08-14,0,12,52,19,25,0,0,0,23,0
2022-08-21,0,11,44,18,24,0,0,0,21,0
2022-08-28,0,11,51,17,28,0,0,0,69,0
2022-09-04,0,12,53,21,27,0,2,0,26,0
2022-09-11,0,12,41,21,34,0,0,0,29,0
2022-09-18,0,11,40,18,42,0,0,0,23,0
2022-09-25,0,12,48,18,33,0,0,0,27,0
2022-10-02,0,11,53,19,26,0,0,0,23,0
2022-10-09,0,11,47,16,26,0,0,0,25,0
2022-10-16,0,12,41,17,25,0,0,0,21,0
2022-10-23,0,15,41,17,24,0,0,0,23,0
2022-10-30,0,14,42,16,22,0,0,0,20,0
2022-11-06,0,13,38,16,25,0,0,0,24,0
2022-11-13,0,16,52,16,28,0,0,0,26,0
2022-11-20,0,15,51,17,29,0,0,0,26,0
2022-11-27,0,13,51,16,25,0,0,0,26,0
2022-12-04,0,13,44,17,25,0,0,0,19,0
2022-12-11,0,11,50,18,29,0,0,0,20,0
2022-12-18,0,10,56,18,26,0,0,0,29,0
2022-12-25,0,12,55,18,29,0,0,0,30,0
2023-01-01,0,11,45,16,29,0,0,0,26,0
2023-01-08,0,10,43,18,28,0,0,0,22,0
2023-01-15,0,12,42,17,29,0,0,0,19,0
2023-01-22,0,11,83,16,28,0,0,0,21,0
2023-01-29,0,11,60,16,33,0,0,0,23,0
2023-02-05,0,11,48,16,27,0,0,0,21,0
2023-02-12,0,12,49,17,28,0,0,0,21,0
2023-02-19,0,14,47,16,29,0,2,0,23,0
2023-02-26,0,14,48,13,28,0,0,0,22,0
2023-03-05,0,13,50,14,29,0,0,0,21,0
2023-03-12,0,13,49,14,26,0,0,0,23,0
2023-03-19,0,12,47,14,28,0,0,0,22,0
2023-03-26,0,11,43,12,27,0,1,0,22,0
2023-04-02,0,12,48,14,26,0,0,0,17,0
2023-04-09,0,14,42,13,26,0,2,0,20,0
2023-04-16,0,12,39,11,24,0,3,0,20,0
2023-04-23,1,13,35,11,24,0,2,0,20,0
