date,men body wash,premium body wash,men shower gel india,men grooming products,men skincare india
2021-03-14,24,0,0,0,0
2021-03-21,30,0,0,0,0
2021-03-28,27,0,0,0,0
2021-04-04,24,0,0,0,0
2021-04-11,30,0,0,7,0
2021-04-18,23,0,0,0,0
2021-04-25,17,0,0,0,0
2021-05-02,26,0,0,0,0
2021-05-09,32,0,0,0,0
2021-05-16,27,0,0,0,0
2021-05-23,27,0,0,0,0
2021-05-30,33,0,0,0,0
2021-06-06,34,0,0,0,0
2021-06-13,31,0,0,0,0
2021-06-20,20,0,0,0,0
2021-06-27,33,0,0,0,0
2021-07-04,19,0,0,0,0
2021-07-11,21,0,0,0,0
2021-07-18,19,0,0,0,0
2021-07-25,17,0,0,0,0
2021-08-01,24,0,0,0,0
2021-08-08,22,0,0,0,0
2021-08-15,21,0,0,0,0
2021-08-22,19,0,0,0,0
2021-08-29,25,0,0,0,0
2021-09-05,20,0,0,0,0
2021-09-12,20,0,0,0,0
2021-09-19,17,0,0,0,0
2021-09-26,19,0,0,0,0
2021-10-03,18,0,8,0,0
2021-10-10,20,0,0,8,0
2021-10-17,15,0,0,0,0
2021-10-24,20,0,0,0,0
2021-10-31,21,0,0,0,0
2021-11-07,14,0,0,0,0
2021-11-14,21,0,0,0,0
2021-11-21,25,0,0,0,0
2021-11-28,19,0,0,0,0
2021-12-05,27,0,0,0,7
2021-12-12,23,0,0,0,0
2021-12-19,21,0,0,0,0
2021-12-26,25,0,0,0,0
2022-01-02,34,0,0,0,0
2022-01-09,17,0,0,0,0
2022-01-16,21,0,0,0,0
2022-01-23,25,0,0,0,0
2022-01-30,26,0,0,0,0
2022-02-06,22,0,0,0,0
2022-02-13,27,0,0,0,0
2022-02-20,24,0,0,0,0
2022-02-27,32,0,0,0,0
2022-03-06,23,0,0,0,0
2022-03-13,24,0,0,0,0
2022-03-20,37,0,0,0,0
2022-03-27,26,0,0,4,4
2022-04-03,34,0,0,0,0
2022-04-10,30,0,0,0,0
2022-04-17,29,0,0,7,0
2022-04-24,29,0,0,0,0
2022-05-01,28,0,0,0,0
2022-05-08,25,0,0,7,0
2022-05-15,29,0,0,0,0
2022-05-22,30,0,0,0,0
2022-05-29,27,0,0,0,0
2022-06-05,33,0,0,0,0
2022-06-12,34,0,0,0,0
2022-06-19,25,0,0,0,0
2022-06-26,32,0,0,0,0
2022-07-03,34,0,0,0,0
2022-07-10,33,0,0,0,0
2022-07-17,30,0,0,0,0
2022-07-24,32,0,0,0,0
2022-07-31,30,0,0,0,0
2022-08-07,31,0,0,5,0
2022-08-14,38,0,0,0,0
2022-08-21,29,0,0,0,0
2022-08-28,33,0,0,0,0
2022-09-04,34,0,0,5,0
2022-09-11,29,0,0,0,0
2022-09-18,32,0,0,0,0
2022-09-25,30,0,0,0,0
2022-10-02,37,0,0,0,0
2022-10-09,26,0,0,0,0
2022-10-16,32,0,0,0,0
2022-10-23,24,0,0,0,0
2022-10-30,33,0,0,0,0
2022-11-06,30,0,0,0,0
2022-11-13,35,0,0,0,0
2022-11-20,33,0,7,5,0
2022-11-27,28,0,0,0,0
2022-12-04,29,0,0,0,0
2022-12-11,28,0,0,0,0
2022-12-18,27,0,0,0,0
2022-12-25,26,0,0,0,0
2023-01-01,30,0,0,0,0
2023-01-08,31,0,0,0,0
2023-01-15,37,0,0,0,0
2023-01-22,32,0,0,7,0
2023-01-29,33,0,0,0,0
2023-02-05,40,0,0,0,0
2023-02-12,30,0,0,0,0
2023-02-19,35,0,0,0,0
2023-02-26,39,0,0,0,0
2023-03-05,39,0,0,0,0
2023-03-12,34,0,0,0,0
2023-03-19,24,0,0,0,0
2023-03-26,38,0,0,0,0
2023-04-02,44,0,0,0,0
2023-04-09,33,0,0,0,0
2023-04-16,42,0,0,5,0
2023-04-23,37,0,0,0,0
2023-04-30,30,0,0,0,0
2023-05-07,39,0,0,0,0
2023-05-14,38,0,0,0,0
2023-05-21,41,0,0,0,0
2023-05-28,41,0,0,0,0
2023-06-04,41,0,0,0,0
2023-06-11,45,0,0,0,0
2023-06-18,41,0,0,6,0
2023-06-25,36,0,0,0,0
2023-07-02,33,0,0,0,0
2023-07-09,39,0,0,0,0
2023-07-16,37,0,0,0,0
2023-07-23,46,0,0,0,0
2023-07-30,41,0,0,0,0
2023-08-06,46,0,0,0,0
2023-08-13,40,0,0,0,0
2023-08-20,44,0,0,0,0
2023-08-27,44,0,0,0,0
2023-09-03,48,0,0,0,0
2023-09-10,43,0,0,0,0
2023-09-17,45,0,0,0,0
2023-09-24,37,0,0,0,0
2023-10-01,41,0,0,0,0
2023-10-08,42,0,0,0,0
2023-10-15,38,0,0,0,0
2023-10-22,42,0,0,0,0
2023-10-29,36,0,0,6,0
2023-11-05,37,0,0,0,0
2023-11-12,37,0,0,0,0
2023-11-19,36,0,0,0,0
2023-11-26,38,0,0,0,0
2023-12-03,38,0,0,0,0
2023-12-10,35,0,0,0,0
2023-12-17,35,0,0,0,0
2023-12-24,45,0,0,0,0
2023-12-31,34,0,0,0,0
2024-01-07,42,0,0,0,0
2024-01-14,39,0,0,0,0
2024-01-21,36,0,0,0,0
2024-01-28,38,0,0,0,0
2024-02-04,35,0,0,0,0
2024-02-11,29,0,0,0,0
2024-02-18,39,0,0,0,0
2024-02-25,39,0,0,0,0
2024-03-03,48,0,0,0,0
2024-03-10,40,0,0,0,0
2024-03-17,34,0,0,0,0
2024-03-24,43,0,0,0,0
2024-03-31,45,0,0,0,0
2024-04-07,50,0,0,0,0
2024-04-14,44,0,0,0,0
2024-04-21,42,0,0,0,0
2024-04-28,51,0,0,0,0
2024-05-05,44,0,0,0,0
2024-05-12,40,0,0,0,0
2024-05-19,43,0,0,0,0
2024-05-26,48,0,0,0,0
2024-06-02,38,0,0,0,0
2024-06-09,40,0,0,0,0
2024-06-16,48,0,0,0,0
2024-06-23,45,0,0,0,0
2024-06-30,48,0,0,0,0
2024-07-07,54,0,0,0,0
2024-07-14,59,0,0,0,0
2024-07-21,53,0,0,0,0
2024-07-28,53,0,6,0,0
2024-08-04,50,0,0,0,0
2024-08-11,46,0,0,0,0
2024-08-18,52,0,0,0,0
2024-08-25,56,0,0,0,0
2024-09-01,51,0,0,7,0
2024-09-08,57,0,0,0,0
2024-09-15,52,0,0,0,0
2024-09-22,48,0,0,0,0
2024-09-29,59,0,0,0,0
2024-10-06,52,0,0,0,0
2024-10-13,55,0,0,0,0
2024-10-20,54,0,0,0,0
2024-10-27,58,0,0,0,0
2024-11-03,53,0,0,0,0
2024-11-10,67,0,0,0,0
2024-11-17,53,0,0,0,0
2024-11-24,51,0,0,0,0
2024-12-01,61,0,0,0,0
2024-12-08,52,0,0,0,0
2024-12-15,48,0,0,0,0
2024-12-22,43,0,0,0,0
2024-12-29,48,0,0,0,0
2025-01-05,46,0,0,0,0
