geoName,men body wash,men grooming
Andaman and Nicobar Islands,0,0
Andhra Pradesh,79,21
Arunachal Pradesh,0,0
Assam,60,40
Bihar,64,36
Chandigarh,61,39
Chhattisgarh,69,31
Dadra and Nagar Haveli,0,0
Daman and Diu,0,0
Delhi,55,45
Goa,100,0
Gujarat,67,33
Haryana,56,44
Himachal Pradesh,56,44
Jammu & Kashmir,52,48
Jharkhand,53,47
Karnataka,65,35
Kerala,62,38
Lakshadweep,0,0
Madhya Pradesh,63,37
Maharashtra,61,39
Manipur,100,0
Meghalaya,0,0
Mizoram,0,0
Nagaland,0,0
Odisha,69,31
Puducherry,100,0
Punjab,72,28
Rajasthan,58,42
Sikkim,0,0
Tamil Nadu,75,25
Telangana,71,29
Tripura,0,100
Uttar Pradesh,57,43
Uttarakhand,58,42
West Bengal,63,37
