indicator,year,value
urban_population_pct,2024,35.3788972368389
urban_population_pct,2023,35.0676918424186
urban_population_pct,2022,34.7555673994206
urban_population_pct,2021,34.4425517181304
urban_population_pct,2020,34.1286726088333
urban_population_pct,2019,33.8139578818147
urban_population_pct,2018,33.4984353473598
urban_population_pct,2017,33.1821328157539
urban_population_pct,2016,32.8650780972823
urban_population_pct,2015,32.5472990022299
urban_population_pct,2014,32.2288233408821
urban_population_pct,2013,31.9096789235237
urban_population_pct,2012,31.5898935604399
urban_population_pct,2011,31.2746502853309
urban_population_pct,2010,30.9042190810094
gdp_per_capita_usd,2024,2694.73780859961
gdp_per_capita_usd,2023,2530.12031278204
gdp_per_capita_usd,2022,2347.44829434623
gdp_per_capita_usd,2021,2239.61384367482
gdp_per_capita_usd,2020,1907.04251637669
gdp_per_capita_usd,2019,2041.42863698585
gdp_per_capita_usd,2018,1966.25455171679
gdp_per_capita_usd,2017,1950.10468280866
gdp_per_capita_usd,2016,1707.50892912243
gdp_per_capita_usd,2015,1583.99815907985
gdp_per_capita_usd,2014,1553.88396075118
gdp_per_capita_usd,2013,1432.84397512195
gdp_per_capita_usd,2012,1429.32199520032
gdp_per_capita_usd,2011,1445.46127486037
gdp_per_capita_usd,2010,1347.51939071367
total_population,2024,1450935791.0
total_population,2023,1438069596.0
total_population,2022,1425423212.0
total_population,2021,1414203896.0
total_population,2020,1402617695.0
total_population,2019,1389030312.0
total_population,2018,1374659064.0
total_population,2017,1359657400.0
total_population,2016,1343944296.0
total_population,2015,1328024498.0
total_population,2014,1312277191.0
total_population,2013,1295829511.0
total_population,2012,1278674502.0
total_population,2011,1261224954.0
total_population,2010,1243481564.0
inflation_pct,2024,4.95303550973656
inflation_pct,2023,5.64914318907925
inflation_pct,2022,6.69903414079852
inflation_pct,2021,5.13140747176369
inflation_pct,2020,6.62343677628535
inflation_pct,2019,3.72950573539129
inflation_pct,2018,3.9388264669163
inflation_pct,2017,3.32817337461298
inflation_pct,2016,4.94821634062141
inflation_pct,2015,4.90697344127256
inflation_pct,2014,6.66565671867899
inflation_pct,2013,10.0178784746102
inflation_pct,2012,9.47899691419801
inflation_pct,2011,8.91179336483371
inflation_pct,2010,11.9893899204244
household_consumption_growth_pct,2024,6.24456332803464
household_consumption_growth_pct,2023,4.63200957027053
household_consumption_growth_pct,2022,6.62464317315093
household_consumption_growth_pct,2021,10.7618170259252
household_consumption_growth_pct,2020,-6.20693452373237
household_consumption_growth_pct,2019,4.08069870228027
household_consumption_growth_pct,2018,5.92087765118583
household_consumption_growth_pct,2017,5.01104183422309
household_consumption_growth_pct,2016,6.84926063874795
household_consumption_growth_pct,2015,6.64833269673993
household_consumption_growth_pct,2014,5.06034759131005
household_consumption_growth_pct,2013,5.88263029800001
household_consumption_growth_pct,2012,4.03153919380179
household_consumption_growth_pct,2011,5.91073271488168
household_consumption_growth_pct,2010,5.17928535833907
